,zpid,price,beds,baths,area,zipcode,city,state,homeType,pricePerSQFT
2022,2060419024,775000,2.0,1.0,1010.0,94110,San Francisco,CA,SINGLE_FAMILY,767
2023,15148736,899000,1.0,2.0,856.0,94107,San Francisco,CA,CONDO,1050
2025,2077287192,950000,1.0,1.0,825.0,94133,San Francisco,CA,CONDO,1152
2026,15163985,998000,3.0,2.0,1360.0,94110,San Francisco,CA,SINGLE_FAMILY,734
2027,15176944,998000,4.0,4.0,1711.0,94134,San Francisco,CA,SINGLE_FAMILY,583
2031,64972055,750000,3.0,2.0,1050.0,94115,San Francisco,CA,CONDO,714
2032,2130420245,699000,3.0,1.0,1282.0,94102,San Francisco,CA,CONDO,545
2034,54432302,1050000,1.0,2.0,1049.0,94110,San Francisco,CA,CONDO,1001
2035,15131739,2495000,2.0,2.0,1784.0,94114,San Francisco,CA,SINGLE_FAMILY,1399
2036,59700375,959000,2.0,1.0,778.0,94114,San Francisco,CA,CONDO,1233
2037,15161020,1495000,2.0,2.0,1572.0,94110,San Francisco,CA,SINGLE_FAMILY,951
2038,15108389,1000000,2.0,1.0,1230.0,94122,San Francisco,CA,SINGLE_FAMILY,813
2041,15095489,2095000,3.0,3.0,2108.0,94121,San Francisco,CA,SINGLE_FAMILY,994
2042,15141990,1895000,3.0,2.0,2138.0,94127,San Francisco,CA,SINGLE_FAMILY,886
2043,63197579,649000,1.0,1.0,658.0,94107,San Francisco,CA,CONDO,986
2044,69817590,1199000,2.0,2.0,1082.0,94109,San Francisco,CA,CONDO,1108
2045,15138015,3698000,4.0,3.0,3120.0,94127,San Francisco,CA,SINGLE_FAMILY,1185
2046,249665508,995000,2.0,2.0,855.0,94117,San Francisco,CA,CONDO,1164
2047,15179378,899000,2.0,1.0,1248.0,94112,San Francisco,CA,SINGLE_FAMILY,720
2051,15064628,4200000,3.0,3.0,2760.0,94109,San Francisco,CA,SINGLE_FAMILY,1522
2052,15125619,1795000,3.0,2.0,2225.0,94116,San Francisco,CA,SINGLE_FAMILY,807
2053,2130400409,2099000,2.0,3.0,2980.0,94103,San Francisco,CA,CONDO,704
2056,2057585031,799000,2.0,1.0,950.0,94117,San Francisco,CA,CONDO,841
2057,80744446,1195000,2.0,3.0,1778.0,94103,San Francisco,CA,CONDO,672
2058,15096173,1625000,3.0,2.0,2109.0,94121,San Francisco,CA,SINGLE_FAMILY,771
2059,2075613570,1275000,2.0,2.0,1609.0,94103,San Francisco,CA,CONDO,792
2061,15142215,1595000,4.0,3.0,2055.0,94112,San Francisco,CA,SINGLE_FAMILY,776
