player,season,award_share,age,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,mov,mov_adj,win_loss_pct
Moses Malone,-1.6600990213223665,-0.08167550794417057,0.06912814657242035,0.04594444693073996,0.08372839148943012,0.0,-1.5691297913404765,-1.8334699112020227,-0.2539015435377695,-0.9945043889441412,-1.1349324549337918,-2.45159723386095,-0.271131235747322,0.049704730903445724,-0.5772130599944522,-0.6435837040113445,0.90547219977967,0.9493492769441302,-0.5360754348134156,3.078786121691477,0.996265642079684,1.760896544740188,-2.117912252167648,-1.1202323719912939,1.5566545154082956,0.24896118560505584,0.3973063916631094,-1.2580450246723847,0.03424293811415264,-0.9811422449243412,-0.39022839760410827,-1.0986944137384207,1.6641469692120028,2.9935615911752307,0.7524798893194885,1.4946952011547097,-2.2567172031067244,-1.2212705759333349,0.8218144735916469,0.5257600081889363,-1.3909648919355537,-0.9797482370401774,0.6989762081848349,-0.6979279543228147,-0.7196120069987867,-2.064908200867364,-1.9582503958391544,-2.3395803020639105,-2.5798076827635126,-0.3094311012303818,-0.23117055114993287,0.04372038838844707
Larry Bird,-1.502335831391083,0.5651945149737121,0.4493329527207289,0.4502555799212401,-0.12094100992917814,0.0,0.4660541582783978,0.27283334864865655,-0.33179046209494234,-0.5358897780384052,-0.6837449714488899,0.6468469599907346,0.7076488508253335,0.8384085889281951,-0.5747428610752442,-0.5276543305177211,-1.2237787124070345,-1.2978165980698002,0.146954279294039,0.11623209722620008,0.4642514502544665,0.3670449018225457,-0.08324047935173848,-0.3185507749465046,0.25156762275651595,-0.42048226303802194,0.1865274302940025,-0.40641793771570883,0.46003872983338884,-0.9677458888159095,-0.6716981529238353,-0.7041714771572293,-1.3781822130946662,-0.018306523450818426,0.22069342110383267,0.17110171838581395,-0.5791699586217365,-0.6732295333003633,-0.2476602864150414,-0.5242552125452958,-1.155142307181814,-0.6352380602023925,-0.32454544576823374,-0.7759163310162053,-1.1745071212433347,-0.7146535275608825,-0.24291151038097364,-0.6003015643976412,-0.2225542916404117,-0.8762089612864196,-0.8424431733406457,-0.6664810844400542
Larry Bird,-1.4234542364254412,0.6730061854600259,0.8295377588690374,0.8545667129117402,0.6977365957452549,0.0,-0.6214533404016105,-0.5040446938933099,-0.41922557493976376,-0.313478932899909,-0.4314361813422012,0.7389829962001171,-0.1731423859456536,0.13063784730155892,-0.6077234581002637,-0.48744229358247215,-0.8040722164738263,-1.0535455547616186,0.5662889483064182,0.33689795929979055,0.23192515354353915,0.28932131812034195,0.09897015541416576,0.5514566824919894,-0.5780009612916834,-0.10571988924097772,-0.2894852797817267,-0.9602440659967144,0.8434473540888174,-0.9436048580713102,-0.4603036145722008,-0.42414573939514366,-0.9085144453655395,0.36389648267117825,0.06225518854471538,0.18105107719293762,-0.4439826670855736,0.2270234993204119,-0.8076502247386588,0.1056644638465257,-1.1150086180021663,-0.8314930903558796,0.8129680465245329,-0.5010512815799147,-0.868362077138032,-0.6830584473729598,-0.10745103799284557,-0.5139450792584421,-0.20514559641770086,0.36574502151246674,0.39031988393583744,0.19101648343168548
Magic Johnson,-1.3445726414597996,-0.8004199778529291,0.06912814657242035,0.4502555799212401,0.49306719432664664,0.0,-1.2611575794595542,-1.7116281841473056,0.29481402632663123,-0.9232124679257367,-0.9815069590862227,-0.8329204601811663,-0.1244667220297554,-0.031434191257917264,-0.030956849607075256,-0.15233871562012616,0.34415968270305125,0.02009646943687556,0.493125150951142,-0.2387345353962736,-0.6172223467776,-0.5375261209439892,2.5134485951924894,0.13532379030756164,-0.692590098258277,1.0189874357738447,-0.2920969197633912,-1.1991119242800983,0.4549185303177669,-0.3386634996960148,0.1560411241504039,-0.9278368413372878,0.7606753543342777,-0.1623149827647059,-0.6531289666212725,-0.510240478195252,1.5384678376696652,-0.036789735999320304,-0.9349750968952066,1.3962569004124792,-1.1300510735884768,0.36916478772118044,-1.2978174632275425,-0.16758690349746175,-0.23081050065293726,-0.004121839224071138,-0.676485965673255,-0.32509242846508424,-0.21966882838265278,0.49995181411724715,0.23800859083836737,0.3351429447440722
Michael Jordan,-1.0290462615972324,-1.2316666597981802,0.06912814657242035,0.8545667129117402,0.9024059971638632,0.0,1.5539164361870645,1.1869034464597787,0.3956119548784687,-0.7147317691638079,-0.8037821820044171,-0.034657791805873035,1.5553268306536379,1.4951222356403326,0.07073896699820865,-0.009361398490415574,0.46897095278234713,0.09182285604431022,0.3720449038651818,-0.3431803567227796,-0.7203016426700334,-0.6492046357054763,-0.3665716531503453,2.0109865676542515,0.060939867172442805,-1.0200343521592936,0.7781107938039696,1.0442066665925789,0.8594142920520129,0.6125440040573992,0.047471779914326,-0.8099271364627414,-0.3296415452459488,-0.2987865328313177,-0.6124040533412605,-0.5781633319927195,-0.4799181579107193,1.9681908524306508,-0.1635198249187731,-1.1261135383193803,0.2477139250702653,1.4012226464912967,0.19166117989825127,1.4921863142634404,0.8758344693013851,0.6954672017193783,0.8060050465672677,0.8225808052063673,1.337405951897303,0.33933793375163185,0.27799497431417153,-0.3892294799589457
Michael Jordan,-0.9501646666315907,-0.8722944248438049,0.4493329527207289,0.4502555799212401,0.49306719432664664,0.0,0.859650904921816,0.8028498592558754,-0.24514037381829534,-0.7944092807249595,-0.7617288905499368,-0.4570471887470998,1.162678411416415,1.256124025602542,-0.4263567836399962,-0.5559635310930522,-0.39549859272821836,-0.46354482124056906,-0.1502476579922716,-0.6275591606854214,-0.5602987883769865,-0.6218888882097415,-0.23492613664397313,1.0283739346366034,-0.15689034480231,-1.1922387018366125,0.10308190323533184,0.16549907216894208,0.44449338181946396,-0.596490138024055,-0.6191780195515271,-0.8015640465257832,-0.8051302318154779,-0.6458277181096075,-0.5772099623501539,-0.6555044792901144,-0.5409069121099364,0.8138562709872257,-0.3743404099788897,-1.2296907887882857,-0.3561893946862142,0.04962618838982409,0.1333259863204919,0.10499652779666015,-0.3726311168481797,-0.43804433606356696,0.16081756200031572,-0.21893265435047551,0.14458372410450895,0.7016327477830016,0.7391349267329399,0.0062158973533156595
Michael Jordan,-0.6346382867690237,0.8526923029372154,1.970152177313963,0.8545667129117402,0.9024059971638632,0.0,0.6462032470410647,1.074899757587586,-0.377625745084061,-0.03348172948649809,-0.18947327203439512,0.7947832875486396,0.4408432819379849,0.8177065014821333,-0.5621105050794551,-0.3915803902297399,0.15883838812907664,-0.07748410056911358,0.07747032091583755,-0.0462062845289935,-0.6812365837927279,-0.5226972215740372,-0.8980537679453235,0.962153355859419,-0.7216730805618797,-1.2346782176633677,0.05669903004242132,0.5211861235855172,0.8519037606670252,-0.027733731080482084,-0.37887433285031075,-0.305400646870963,-0.47287793143684054,-0.05245939662047618,-0.5731914710583842,-0.48855763773608546,-0.8669969268172443,1.0636791036000717,-0.7254478731408956,-1.2793278909797672,0.19834950496202458,1.0137343209294263,0.8598347174599514,1.3791476126026425,0.669135743610408,0.2752187679080978,-0.01698464957677588,0.18064485087135604,0.6417928134733595,1.5726026335989076,1.6223017316099022,0.9368591547694469
Michael Jordan,-0.4768750968377401,-1.0160433188255527,2.73056178961058,0.8545667129117402,0.9024059971638632,0.0,0.00026504353204407315,0.9973739212208943,-0.9937213308619933,-0.7277109113185656,-0.7043129575678053,-0.6934383052050379,0.6011608196049273,1.256124025602542,-0.9921787654558327,-1.1644369541367463,0.16198067845070901,0.18496838172058488,-0.5653145945677314,-0.2412883917200117,-0.9298854041390177,-0.7734912868110692,-1.2645439161490948,-0.08118865198556029,-0.7430516424798261,-1.4754191879726504,-0.980142896376054,-0.2540129406526679,0.8562867475025239,-1.1523886276479458,-1.1723900910731664,-0.7354926598352227,-0.3441042334195655,-0.3312375052399449,-0.9010206041510969,-0.822850821395589,-1.1878055000234498,0.02680996545761768,-0.7472066455058648,-1.5821652113705993,0.07508686146105126,-0.6022325542461401,-0.052743165608567705,-0.6296685466994553,-1.090412608885137,-1.1288946270843427,-0.970196506018189,-1.2301865850917015,-1.0339804556958458,-0.6428956870605219,-0.4657850816956985,-0.6491815300176442
Shaquille O'Neal,-0.3191119069064566,1.2839389848824705,0.06912814657242035,0.24810001342599003,0.2883977929080384,0.0,0.810431532860401,-0.28308071666383616,0.27858904390598044,-0.9945043889441412,-1.1349324549337918,-2.45159723386095,1.283659928924891,0.9608832180442244,-0.1517667042293716,-0.20258972050277174,-0.9285881457930669,0.7816005284448454,-2.949528256079937,1.7449159023001242,0.7225027561497719,1.0942502639572838,-1.1908866442306516,-2.3280528898954436,2.788570176027209,-0.886403776809694,1.0377501589000124,-0.22135093394012975,0.26783924051567815,-0.1557738154502334,-0.8397412671973301,-1.099050465100031,0.4721587619546273,1.3609956814881157,0.4353921732245083,0.7252701894221573,-1.1272322686097294,-2.3579403402970955,2.340871517128544,-0.9723844603031975,-0.6658457465999514,-0.23834199732759376,1.2404374402983995,0.23723624120596243,-0.3624625457109907,-0.5012837088570071,-0.2614276900599263,-0.4641617325552225,-0.11919016375556998,-0.165043013595864,-0.07505890087062418,-0.25712493780836126
Allen Iverson,-0.24023031194081484,-2.0941600236886906,-0.6912814657241967,-1.3691445185360105,-1.3489574184408277,0.0,-0.6366477680260901,1.2196871348951976,-2.061142325165044,-0.13187214462144703,0.00545733777321102,-0.2677935865828584,-0.27490385610442736,0.7087315358595105,-1.8198320957197804,-1.8539308275803292,0.6325197299576824,0.43069753413511636,-0.842190594719854,-0.9777779912140594,-1.3788291460560134,-1.3519867887754993,-0.9677273621305856,1.0459860391861617,-1.0696272226144423,-0.4155150827206267,-0.763497936453777,-0.24488070635995265,-1.3797586746911346,-1.8258199407923172,-1.8274252540198046,-0.24478151963660072,-0.4613992833515866,-1.1032319006312126,-1.459869310442928,-1.441394777311158,-0.9149639187265936,0.756389397885064,-1.1484817370729905,-1.0893113650758501,-0.04033087946979002,-2.004185334626797,-1.2090300383105863,-2.5239628540719,-2.33608630935139,-1.8096225695187347,-0.9579887351252908,-1.686970673535358,-1.8560356523094277,-1.917207936517966,-2.1205581129581694,-1.992618348745727
