season,player,pos,age,team_id,g,gs,per,ts_per,fg3_pct,ft_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,mp_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
2023,Kendrick Nunn,PG,27,WAS,30,7,14,0.561,0.489,0.095,19.1,1.9,0.4,13.5,24,0.1,0.3,0.4,0.045,-0.5,-1.4,-1.9,0,71,155,0.458,40,89,0.449,31,66,0.47,0.587,24,37,0.649,14,0.4,1.1,1.5,1.5,0.4,0.1,0.7,0.7,6.6
2023,Jusuf Nurki?,C,28,POR,52,0,17.3,0.589,0.236,0.38,16.4,1.5,2.8,16.8,22.2,1.2,1.6,2.7,0.095,-0.5,0.7,0.1,0.7,6,12,0.5,6,10,0.6,0,2,0,0.75,3,5,0.6,3.1,0,0.5,0.5,0.1,0.1,0,0.2,0.1,1.6
2023,Jordan Nwora,SF,24,TOT,61,7,12.1,0.554,0.471,0.195,10.7,1,0.9,11.8,19.3,0.4,1,1.4,0.06,-0.9,-1.3,-2.2,0,65,143,0.455,34,79,0.43,31,64,0.484,0.573,21,32,0.656,21.8,0.6,1.6,2.2,2.6,0.7,0.2,1.1,1.1,10.3
2023,Jordan Nwora,SF,24,MIL,38,1,10,0.53,0.518,0.218,8.4,1,1,13.6,17.6,0,0.7,0.7,0.058,-2,-0.4,-2.4,0,185,303,0.611,14,42,0.333,171,261,0.655,0.634,55,79,0.696,21.3,1.7,3.9,5.5,1.8,0.9,0.6,0.7,2.1,6.9
2023,Jordan Nwora,SF,24,IND,23,62,14.2,0.573,0.433,0.176,13,1,0.9,10.2,21.1,0.4,0.3,0.7,0.061,0.3,-2.2,-1.9,0,277,631,0.439,91,260,0.35,186,371,0.501,0.511,45,57,0.789,27.5,0.5,2.2,2.6,4.5,0.9,0.2,1.7,2.4,9.3
2023,Royce O'Neale,SF,29,BRK,76,59,9.3,0.538,0.707,0.116,15.3,1.3,1.7,15.5,13.6,0.4,2.5,2.9,0.058,-1.7,0.6,-1.1,0.5,247,583,0.424,114,312,0.365,133,271,0.491,0.521,116,139,0.835,24.9,0.9,2.9,3.8,1.3,0.8,0.4,1,3.2,10.1
2023,Chuma Okeke,SF,24,ORL,26,1,8.6,0.474,0.703,0.189,8.7,1.6,2.2,11.1,12,0,0.6,0.6,0.055,-2.7,0.8,-1.9,0,53,101,0.525,12,39,0.308,41,62,0.661,0.584,26,29,0.897,10.3,0.2,0.8,1,1.6,0.3,0.1,0.5,1,3.1
2023,Josh Okogie,SG,24,PHO,71,1,13.3,0.533,0.479,0.469,10.3,2,2.3,11.4,17.6,1.1,1.7,2.8,0.102,-0.8,0.5,-0.3,0.6,222,502,0.442,154,384,0.401,68,118,0.576,0.596,39,45,0.867,19.4,0.2,2.1,2.4,1,0.4,0.2,0.7,1.9,8.2
2023,Onyeka Okongwu,C,22,ATL,79,7,19.4,0.679,0.022,0.396,5.8,1.4,5,12.2,15.1,4.6,2.4,7,0.186,-0.1,0.9,0.8,1.3,80,233,0.343,40,138,0.29,40,95,0.421,0.429,24,36,0.667,16,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1,4
2023,Isaac Okoro,SF,22,CLE,76,5,10.8,0.614,0.483,0.291,7,1.7,1.7,9.5,12,1.9,2.3,4.2,0.122,-1.9,1.6,-0.3,0.7,102,180,0.567,15,56,0.268,87,124,0.702,0.608,40,60,0.667,13.5,1.2,1.3,2.5,0.3,0.3,0.4,0.5,2,5
