player,fg_per_g,pts_per_g,usg_pct,ws,ows,vorp
Moses Malone,-1.5691297913404765,-1.2580450246723847,-1.3909648919355537,-0.6979279543228147,-0.9797482370401774,-2.5798076827635126
Larry Bird,0.4660541582783978,-0.40641793771570883,-1.155142307181814,-0.7759163310162053,-0.6352380602023925,-0.2225542916404117
Larry Bird,-0.6214533404016105,-0.9602440659967144,-1.1150086180021663,-0.5010512815799147,-0.8314930903558796,-0.20514559641770086
Magic Johnson,-1.2611575794595542,-1.1991119242800983,-1.1300510735884768,-0.16758690349746175,0.36916478772118044,-0.21966882838265278
Michael Jordan,1.5539164361870645,1.0442066665925789,0.2477139250702653,1.4921863142634404,1.4012226464912967,1.337405951897303
Michael Jordan,0.859650904921816,0.16549907216894208,-0.3561893946862142,0.10499652779666015,0.04962618838982409,0.14458372410450895
Michael Jordan,0.6462032470410647,0.5211861235855172,0.19834950496202458,1.3791476126026425,1.0137343209294263,0.6417928134733595
Michael Jordan,0.00026504353204407315,-0.2540129406526679,0.07508686146105126,-0.6296685466994553,-0.6022325542461401,-1.0339804556958458
Shaquille O'Neal,0.810431532860401,-0.22135093394012975,-0.6658457465999514,0.23723624120596243,-0.23834199732759376,-0.11919016375556998
Allen Iverson,-0.6366477680260901,-0.24488070635995265,-0.04033087946979002,-2.5239628540719,-2.004185334626797,-1.8560356523094277
Kevin Garnett,-0.8194629562338326,-1.7128743311428964,-0.9062308127420546,0.2292399133579866,-0.6629611083525669,0.5080954218142633
LeBron James,-0.5598796353530683,-0.09560304266982332,0.3093144833341332,1.33935282705127,0.8164171168860855,1.7969851887734436
LeBron James,-0.5089561358742046,-7.219002440073948e-07,-0.005086288720172759,0.37764550955972664,0.4836087660663178,0.732282882871867
Derrick Rose,-1.2267725232651152,-1.082300791788992,0.011548568108873452,-1.4840552868677521,-1.2883348986500223,-1.1177134340926624
LeBron James,-0.28111219340655985,-0.6326490185649714,-0.5250016179037523,0.900875189946947,1.1411835334619074,0.6693772224350113
Kevin Durant,-0.09206566884867586,0.8095550844321713,-0.020410023828701485,0.7428444960980732,1.1291520724893247,0.41105438838095326
Stephen Curry,-0.7578198433708601,-0.39192591122857884,0.20255735123668556,0.4641109381048375,0.6421504241407745,0.24206799003236695
Stephen Curry,0.6814688283976185,1.3786493080770414,0.7834139757239716,1.113267247149747,1.4132151164838407,1.030065806282554
James Harden,-0.652550410497474,1.1303089838196045,1.3402857089439177,-0.21241898015542232,0.285109888371643,-0.28219792400183313
Giannis Antetokounmpo,0.8825170475752022,0.9646913823090617,1.047299251080831,-0.1524663288624403,-0.5531327206903469,-0.10591249529556533
Giannis Antetokounmpo,2.5095484019679675,2.4282617052358684,3.12891998311435,-1.2610531432712582,-1.6047428650957256,-0.2911010290798323
Nikola Jokić,0.57695224531593,0.01705902469242516,-0.034227958377433046,0.025204793207334448,0.6558260051560144,0.5195961633693628
